Entry	Sam_16S_01	Sam_16S_02	Sam_16S_03	Sam_16S_04	Sam_16S_05	Sam_16S_06	Sam_16S_07	Sam_16S_08	Sam_16S_09	Sam_16S_10	Sam_16S_11	Sam_16S_12	Sam_16S_13	Sam_16S_14	Sam_16S_15	Sam_16S_16	Sam_16S_17	Sam_16S_18	Sam_16S_19	Sam_16S_20	Sam_16S_21	Sam_16S_22	Sam_16S_23	Sam_16S_24	Sam_16S_25	Sam_16S_26
OTU145	0	78	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
OTU146	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	2	0	0	0
OTU147	1	35	1	0	13	26	0	0	0	0	0	0	0	0	0	0	0	1	0	0	52	10	0	0	0	0
OTU148	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54	0	0	0
OTU149	1	0	0	84	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	53	0	0	0	0	0	0
OTU15	18	457	0	333	2723	57	10	0	0	1	10	2	1	0	0	0	6	6	1	244	5088	34	6	17	0	4
OTU150	0	38	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0
OTU151	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	0
OTU152	5	13	0	0	3	0	7	7	0	0	0	24	0	0	0	0	8	1	0	1	1	2	82	0	65	3
OTU153	7	69	1	5	20	33	0	0	0	0	0	0	0	0	0	0	0	3	2	2	23	9	6	0	0	0
OTU154	0	2	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	21	0	0	0	0
OTU155	0	0	0	0	0	0	65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	193	0	0	1
OTU156	0	50	0	104	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	114	0	0	0	0	0	0
OTU157	0	0	0	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0
OTU158	0	0	0	0	3	8	0	0	0	0	0	0	0	0	0	0	0	0	0	3	48	3	0	0	0	0
OTU159	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0
OTU16	0	0	0	1783	4	8169	13	1	0	0	30	0	1	0	0	0	0	0	0	225	0	5336	0	0	0	0
OTU160	3	17	66	139	7	6	31	1	2	552	3	0	0	0	0	683	0	0	37	64	9	3	10	27	1	1
OTU161	0	38	0	1	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0
OTU162	0	4	1	92	0	1	9	0	0	0	0	0	0	0	0	2	0	0	1	139	0	1	18	0	0	0
