Entry	Sam_16S_01	Sam_16S_02	Sam_16S_03	Sam_16S_04	Sam_16S_05	Sam_16S_06	Sam_16S_07	Sam_16S_08	Sam_16S_09	Sam_16S_10	Sam_16S_11	Sam_16S_12	Sam_16S_13	Sam_16S_14	Sam_16S_15	Sam_16S_16	Sam_16S_17	Sam_16S_18	Sam_16S_19	Sam_16S_20	Sam_16S_21	Sam_16S_22	Sam_16S_23	Sam_16S_24	Sam_16S_25	Sam_16S_26
ASV1126	0	0	12	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0
ASV1127	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0
ASV1128	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0
ASV1129	3	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	18	0	0	0	4	0
ASV113	0	0	0	204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	367	0	0	0	0	0	0
ASV1130	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	1	0	5	0	2	0
ASV1131	0	1	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0
ASV1132	0	0	0	0	2	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	11	0	0	0
ASV1133	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	2	0	9	0	1	0
ASV1134	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0
ASV1135	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0
ASV1136	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0
ASV1137	0	0	0	8	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	18	0	0	0	0
